,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File,Iteration,Total_Iterations
0,indegree centrality,0.6000000000000001,Head-Tail,Female,FCvsCC,CC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
1,indegree centrality,0.2,Head-Tail,Female,FCvsCC,CC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
2,indegree centrality,0.4,Head-Tail,Female,FCvsCC,CC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
3,indegree centrality,0.2,Head-Tail,Female,FCvsCC,FC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
4,indegree centrality,0.2,Head-Tail,Female,FCvsCC,FC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
5,indegree centrality,0.0,Head-Tail,Female,FCvsCC,FC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
6,indegree centrality,0.6000000000000001,Head-Tail,Female,FCvsCC,CC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
7,indegree centrality,0.2,Head-Tail,Female,FCvsCC,CC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
8,indegree centrality,0.4,Head-Tail,Female,FCvsCC,CC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
9,indegree centrality,0.2,Head-Tail,Female,FCvsCC,FC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
10,indegree centrality,0.2,Head-Tail,Female,FCvsCC,FC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
11,indegree centrality,0.0,Head-Tail,Female,FCvsCC,FC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
12,indegree centrality,0.4,Head-Tail,Female,FCvsCC,CC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
13,indegree centrality,0.2,Head-Tail,Female,FCvsCC,CC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
14,indegree centrality,0.4,Head-Tail,Female,FCvsCC,CC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
15,indegree centrality,0.2,Head-Tail,Female,FCvsCC,FC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
16,indegree centrality,0.4,Head-Tail,Female,FCvsCC,FC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
17,indegree centrality,0.0,Head-Tail,Female,FCvsCC,FC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
